캐릭터,파티,무기,성유물 이름
emilie,emilie(10) / bennett(7) / xiangling(7) / arlecchino(6) / ganyu(5) / lyney(5) / zhongli(5) / fischl(4) / gaming(4) / nahida(4) / neuvillette(4) / sucrose(4) / wriothesley(4) / alhaitham(3) / baizhu(3) / clorinde(3) / furina(3) / kinich(3) / klee(3) / mualani(3) / sigewinne(3) / thoma(3) / yaoyao(3) / albedo(2) / amber(2) / barbara(2) / cyno(2) / hutao(2) / jean(2) / kaeya(2) / kirara(2) / lauma(2) / mavuika(2) / nilou(2) / ororon(2) / raiden(2) / sayu(2) / shenhe(2) / tighnari(2) / xiao(2) / xilonen(2) / xingqiu(2) / yoimiya(2) / aloy(1) / ayaka(1) / ayato(1) / beidou(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / chongyun(1) / citlali(1) / collei(1) / dahlia(1) / dehya(1) / diluc(1) / diona(1) / dori(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / ineffa(1) / itto(1) / kaveh(1) / kazuha(1) / keqing(1) / kokomi(1) / kukishinobu(1) / lanyan(1) / layla(1) / lisa(1) / lynette(1) / mika(1) / mona(1) / navia(1) / ningguang(1) / noelle(1) / qiqi(1) / razor(1) / rosaria(1) / sara(1) / sethos(1) / skirk(1) / varesa(1) / venti(1) / wanderer(1) / xianyun(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yelan(1) / yunjin(1),calamityqueller(3) / deathmatch(3) / missivewindspear(3) / kitaincrossspear(2) / staffofhoma(2) / aquilafavonia(1) / athousandblazingsuns(1) / cashflowsupervision(1) / favoniuslance(1) / freedomsworn(1) / peakpatrolsong(1) / primordialjadewingedspear(1) / rust(1) / thrillingtalesofdragonslayers(1),unfinishedreverie(4) / deepwoodmemories(2) / viridescentvenerer(2) / goldentroupe(1) / instructor(1) / marechausseehunter(1) / noblesseoblige(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1)
escoffier,escoffier(10) / furina(8) / gaming(8) / shenhe(8) / skirk(7) / wriothesley(7) / yelan(7) / citlali(5) / ganyu(5) / mona(5) / neuvillette(5) / ayaka(4) / bennett(4) / layla(4) / mavuika(4) / arlecchino(3) / ayato(3) / charlotte(3) / diona(3) / eula(3) / hutao(3) / kaeya(3) / mika(3) / rosaria(3) / xilonen(3) / xingqiu(3) / yoimiya(3) / aloy(2) / candace(2) / chevreuse(2) / chongyun(2) / dahlia(2) / diluc(2) / freminet(2) / ineffa(2) / kazuha(2) / keqing(2) / kinich(2) / kokomi(2) / lyney(2) / mualani(2) / qiqi(2) / tartaglia(2) / venti(2) / wanderer(2) / zhongli(2) / albedo(1) / alhaitham(1) / amber(1) / baizhu(1) / barbara(1) / beidou(1) / chasca(1) / chiori(1) / clorinde(1) / collei(1) / cyno(1) / dehya(1) / dori(1) / emilie(1) / faruzan(1) / fischl(1) / flins(1) / gorou(1) / heizou(1) / itto(1) / jean(1) / kaveh(1) / kirara(1) / klee(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lisa(1) / lynette(1) / nahida(1) / navia(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / raiden(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / sucrose(1) / thoma(1) / tighnari(1) / varesa(1) / xiangling(1) / xianyun(1) / xiao(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yunjin(1),calamityqueller(7) / favoniuslance(7) / deathmatch(5) / rust(5) / staffofhoma(5) / finaleofthedeep(4) / skywardspine(4) / mistsplitterreforged(3) / azurelight(2) / calamityofeshu(2) / engulfinglightning(2) / favoniuscodex(2) / favoniussword(2) / favoniuswarbow(2) / missivewindspear(2) / thrillingtalesofdragonslayers(2) / aquasimulacra(1) / athousandblazingsuns(1) / blackcliffpole(1) / cashflowsupervision(1) / elegyfortheend(1) / everlastingmoonglow(1) / festeringdesire(1) / fleuvecendreferryman(1) / fracturedhalo(1) / harangeppakufutsu(1) / kitaincrossspear(1) / peakpatrolsong(1) / primordialjadewingedspear(1) / sacrificialfragments(1) / serpentspine(1) / splendoroftranquilwaters(1) / thealleyflash(1) / theblackspoon(1) / thewidsith(1) / tomeoftheeternalflow(1),goldentroupe(8) / blizzardstrayer(7) / tenacityofthemillelith(5) / marechausseehunter(4) / noblesseoblige(4) / scrolloftheheroofcindercity(4) / gladiatorsfinale(3) / finaleofthedeepgalleries(2) / desertpavilionchronicle(1) / emblemofseveredfate(1) / obsidiancodex(1) / shimenawasreminiscence(1) / viridescentvenerer(1)
eula,eula(10) / fischl(8) / zhongli(8) / bennett(7) / diona(7) / mika(7) / rosaria(7) / beidou(5) / chongyun(5) / raiden(5) / gaming(4) / lisa(4) / xingqiu(4) / yelan(4) / furina(3) / ineffa(3) / kukishinobu(3) / layla(3) / nahida(3) / shenhe(3) / sucrose(3) / venti(3) / albedo(2) / aloy(2) / amber(2) / ayaka(2) / citlali(2) / dori(2) / escoffier(2) / ganyu(2) / jean(2) / kaeya(2) / keqing(2) / lanyan(2) / skirk(2) / wriothesley(2) / xiangling(2) / xianyun(2) / xinyan(2) / alhaitham(1) / arlecchino(1) / ayato(1) / baizhu(1) / barbara(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / dehya(1) / diluc(1) / emilie(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / itto(1) / kaveh(1) / kazuha(1) / kinich(1) / kirara(1) / klee(1) / kokomi(1) / lauma(1) / lynette(1) / lyney(1) / mavuika(1) / mona(1) / mualani(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / thoma(1) / tighnari(1) / varesa(1) / wanderer(1) / xiao(1) / xilonen(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1),songofbrokenpines(9) / serpentspine(6) / skywardpride(5) / beaconofthereedsea(4) / luxurioussealord(4) / redhornstonethresher(4) / akuoumaru(3) / engulfinglightning(3) / favoniuslance(3) / favoniussword(3) / sacrificialbow(3) / theunforged(3) / wolfsgravestone(3) / blacktassel(2) / favoniuswarbow(2) / prototypearchaic(2) / skywardblade(2) / skywardharp(2) / skywardspine(2) / staffofhoma(2) / thecatch(2) / thestringless(2) / festeringdesire(1) / fleuvecendreferryman(1) / fracturedhalo(1) / rust(1) / snowtombedstarsilver(1) / splendoroftranquilwaters(1) / thrillingtalesofdragonslayers(1) / verdict(1),paleflame(8) / emblemofseveredfate(5) / noblesseoblige(4) / bloodstainedchivalry(3) / tenacityofthemillelith(3) / blizzardstrayer(2) / maidenbeloved(2) / oceanhuedclam(2) / thunderingfury(2) / gladiatorsfinale(1) / goldentroupe(1) / longnightsoath(1) / silkenmoonsserenade(1)
faruzan,faruzan(10) / wanderer(9) / bennett(8) / xiao(8) / xiangling(7) / jean(5) / xingqiu(5) / zhongli(5) / gaming(4) / heizou(4) / shenhe(4) / venti(4) / yelan(4) / albedo(3) / fischl(3) / furina(3) / rosaria(3) / sucrose(3) / xianyun(3) / yaemiko(3) / yoimiya(3) / yunjin(3) / aloy(2) / barbara(2) / candace(2) / chiori(2) / citlali(2) / cyno(2) / diluc(2) / eula(2) / ganyu(2) / hutao(2) / keqing(2) / klee(2) / kukishinobu(2) / lanyan(2) / lynette(2) / mavuika(2) / mona(2) / nahida(2) / raiden(2) / sara(2) / thoma(2) / tighnari(2) / alhaitham(1) / amber(1) / arlecchino(1) / ayaka(1) / ayato(1) / baizhu(1) / beidou(1) / charlotte(1) / chasca(1) / chevreuse(1) / chongyun(1) / clorinde(1) / collei(1) / dahlia(1) / dehya(1) / diona(1) / dori(1) / emilie(1) / escoffier(1) / flins(1) / freminet(1) / gorou(1) / ineffa(1) / itto(1) / kaeya(1) / kaveh(1) / kazuha(1) / kinich(1) / kirara(1) / kokomi(1) / lauma(1) / layla(1) / lisa(1) / lyney(1) / mika(1) / mizuki(1) / mualani(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sayu(1) / sethos(1) / sigewinne(1) / skirk(1) / varesa(1) / wriothesley(1) / xilonen(1) / xinyan(1) / yanfei(1) / yaoyao(1),favoniuswarbow(7) / elegyfortheend(5) / fadingtwilight(4) / sacrificialbow(4) / endoftheline(3) / aquasimulacra(2) / blacktassel(2) / deathmatch(2) / engulfinglightning(2) / favoniuslance(2) / favoniussword(2) / sapwoodblade(2) / skywardharp(2) / skywardspine(2) / staffofhoma(2) / thecatch(2) / thewidsith(2) / primordialjadewingedspear(1) / tulaytullahsremembrance(1),noblesseoblige(7) / tenacityofthemillelith(6) / emblemofseveredfate(5) / viridescentvenerer(5) / blizzardstrayer(2) / desertpavilionchronicle(2) / scholar(2) / theexile(2) / vermillionhereafter(2) / goldentroupe(1) / scrolloftheheroofcindercity(1) / thunderingfury(1)
fischl,fischl(10) / nahida(8) / arlecchino(7) / beidou(7) / bennett(7) / chevreuse(7) / furina(7) / keqing(7) / xingqiu(7) / baizhu(6) / cyno(6) / flins(6) / sucrose(6) / venti(6) / clorinde(5) / eula(5) / faruzan(5) / neuvillette(5) / tighnari(5) / xiangling(5) / xilonen(5) / yoimiya(5) / zhongli(5) / gaming(4) / klee(4) / kukishinobu(4) / mavuika(4) / rosaria(4) / wanderer(4) / albedo(3) / chasca(3) / collei(3) / diona(3) / hutao(3) / ineffa(3) / layla(3) / lynette(3) / lyney(3) / mona(3) / ororon(3) / raiden(3) / razor(3) / thoma(3) / yaemiko(3) / yelan(3) / alhaitham(2) / aloy(2) / ayato(2) / charlotte(2) / chiori(2) / chongyun(2) / diluc(2) / dori(2) / freminet(2) / ganyu(2) / gorou(2) / heizou(2) / itto(2) / jean(2) / kaeya(2) / kazuha(2) / kirara(2) / lauma(2) / lisa(2) / navia(2) / nilou(2) / qiqi(2) / sara(2) / sethos(2) / shenhe(2) / tartaglia(2) / wriothesley(2) / xianyun(2) / xiao(2) / yunjin(2) / amber(1) / ayaka(1) / barbara(1) / candace(1) / citlali(1) / dahlia(1) / dehya(1) / emilie(1) / escoffier(1) / kaveh(1) / kinich(1) / kokomi(1) / lanyan(1) / mika(1) / mizuki(1) / mualani(1) / ningguang(1) / noelle(1) / sayu(1) / sigewinne(1) / skirk(1) / varesa(1) / xinyan(1) / yanfei(1) / yaoyao(1),aquasimulacra(7) / alleyhunter(6) / thestringless(6) / polarstar(5) / mistsplitterreforged(4) / rust(4) / thunderingpulse(4) / absolution(3) / athousandfloatingdreams(3) / bloodsoakedruins(3) / cashflowsupervision(3) / elegyfortheend(3) / engulfinglightning(3) / favoniuslance(3) / favoniussword(3) / favoniuswarbow(3) / peakpatrolsong(3) / thecatch(3) / wanderingevenstar(3) / athousandblazingsuns(2) / chainbreaker(2) / crimsonmoonssemblance(2) / deathmatch(2) / fadingtwilight(2) / flowerwreathedfeathers(2) / hunterspath(2) / mitternachtswaltz(2) / sacrificialbow(2) / serpentspine(2) / splendoroftranquilwaters(2) / staffofthescarletsands(2) / thealleyflash(2) / theblackspoon(2) / thewidsith(2) / astralvulturescrimsonplumage(1) / balladoftheboundlessblue(1) / balladofthefjords(1) / crescentpike(1) / endoftheline(1) / favoniuscodex(1) / festeringdesire(1) / fleuvecendreferryman(1) / fracturedhalo(1) / hakushinring(1) / harangeppakufutsu(1) / ironsting(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / prototypeamber(1) / prototypearchaic(1) / prototypecrescent(1) / prototyperancour(1) / sacrificialsword(1) / skywardharp(1) / songofbrokenpines(1) / theviridescenthunt(1) / verdict(1) / windblumeode(1),goldentroupe(8) / thunderingfury(5) / gildeddreams(4) / viridescentvenerer(4) / deepwoodmemories(3) / fragmentofharmonicwhimsy(3) / noblesseoblige(3) / tenacityofthemillelith(3) / echoesofanoffering(2) / emblemofseveredfate(2) / flowerofparadiselost(2) / lavawalker(2) / nightoftheskysunveiling(2) / obsidiancodex(2) / paleflame(2) / scrolloftheheroofcindercity(2) / silkenmoonsserenade(2) / thundersoother(2) / desertpavilionchronicle(1) / oceanhuedclam(1)
flins,flins(10) / ineffa(7) / sucrose(7) / fischl(6) / xilonen(5) / xingqiu(5) / furina(4) / gaming(4) / lanyan(4) / yelan(4) / beidou(3) / keqing(3) / kukishinobu(3) / lauma(3) / mona(3) / ororon(3) / varesa(3) / amber(2) / bennett(2) / candace(2) / cyno(2) / dori(2) / jean(2) / lisa(2) / lynette(2) / sara(2) / sayu(2) / venti(2) / wanderer(2) / xianyun(2) / yaemiko(2) / zhongli(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / chongyun(1) / citlali(1) / clorinde(1) / collei(1) / dahlia(1) / dehya(1) / diluc(1) / diona(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / hutao(1) / itto(1) / kaeya(1) / kaveh(1) / kazuha(1) / kinich(1) / kirara(1) / klee(1) / kokomi(1) / layla(1) / lyney(1) / mavuika(1) / mika(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / qiqi(1) / raiden(1) / razor(1) / rosaria(1) / sethos(1) / shenhe(1) / sigewinne(1) / skirk(1) / thoma(1) / tighnari(1) / wriothesley(1) / xiangling(1) / xiao(1) / xinyan(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1),bloodsoakedruins(7) / fracturedhalo(6) / balladofthefjords(5) / staffofhoma(5) / staffofthescarletsands(5) / deathmatch(4) / missivewindspear(3) / wanderingevenstar(3) / favoniuslance(2) / primordialjadewingedspear(2) / rust(2) / sacrificialfragments(2) / elegyfortheend(1) / engulfinglightning(1) / favoniuscodex(1) / favoniusgreatsword(1) / favoniussword(1) / favoniuswarbow(1) / fluteofezpitzal(1) / mouunsmoon(1) / peakpatrolsong(1) / prototypeamber(1) / sacrificialbow(1) / skywardspine(1) / thestringless(1) / thrillingtalesofdragonslayers(1) / vortexvanquisher(1),gildeddreams(4) / nightoftheskysunveiling(4) / thunderingfury(3) / viridescentvenerer(3) / marechausseehunter(2) / shimenawasreminiscence(2) / silkenmoonsserenade(2) / tenacityofthemillelith(2) / deepwoodmemories(1) / emblemofseveredfate(1) / gladiatorsfinale(1) / goldentroupe(1) / instructor(1) / noblesseoblige(1) / scrolloftheheroofcindercity(1) / wandererstroupe(1)
freminet,freminet(10) / fischl(8) / diona(7) / kaeya(7) / layla(7) / rosaria(7) / xingqiu(7) / yaemiko(7) / yelan(7) / bennett(6) / mika(6) / zhongli(6) / beidou(5) / chongyun(5) / eula(5) / furina(5) / ganyu(5) / jean(5) / kukishinobu(5) / lisa(5) / shenhe(5) / xianyun(5) / albedo(4) / gaming(4) / ineffa(4) / lynette(4) / lyney(4) / sayu(4) / sucrose(4) / venti(4) / aloy(3) / amber(3) / baizhu(3) / charlotte(3) / chiori(3) / citlali(3) / dehya(3) / dori(3) / escoffier(3) / keqing(3) / kirara(3) / mona(3) / nahida(3) / wriothesley(3) / alhaitham(2) / arlecchino(2) / ayaka(2) / ayato(2) / barbara(2) / candace(2) / chevreuse(2) / collei(2) / cyno(2) / diluc(2) / faruzan(2) / gorou(2) / heizou(2) / hutao(2) / itto(2) / kaveh(2) / kazuha(2) / kokomi(2) / lanyan(2) / lauma(2) / navia(2) / neuvillette(2) / nilou(2) / ningguang(2) / noelle(2) / ororon(2) / qiqi(2) / raiden(2) / razor(2) / sara(2) / skirk(2) / thoma(2) / tighnari(2) / wanderer(2) / xiao(2) / xilonen(2) / xinyan(2) / yanfei(2) / yoimiya(2) / yunjin(2) / chasca(1) / clorinde(1) / dahlia(1) / emilie(1) / flins(1) / kinich(1) / klee(1) / mavuika(1) / mualani(1) / sethos(1) / sigewinne(1) / tartaglia(1) / varesa(1) / xiangling(1) / yaoyao(1),songofbrokenpines(8) / serpentspine(6) / skywardpride(6) / snowtombedstarsilver(5) / beaconofthereedsea(4) / mailedflower(3) / prototypearchaic(3) / rust(3) / theunforged(3) / verdict(3) / wolfsgravestone(3) / athousandblazingsuns(2) / athousandfloatingdreams(2) / fangofthemountainking(2) / redhornstonethresher(2) / aquasimulacra(1) / blackcliffslasher(1) / calamityqueller(1) / crescentpike(1) / elegyfortheend(1) / endoftheline(1) / engulfinglightning(1) / fadingtwilight(1) / favoniuscodex(1) / favoniusgreatsword(1) / favoniuslance(1) / favoniussword(1) / favoniuswarbow(1) / freedomsworn(1) / fruitfulhook(1) / harangeppakufutsu(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / makhairaaquamarine(1) / oathsworneye(1) / prototypeamber(1) / prototyperancour(1) / sacrificialbow(1) / sacrificialfragments(1) / sacrificialgreatsword(1) / sacrificialsword(1) / thecatch(1) / thrillingtalesofdragonslayers(1) / thunderingpulse(1) / wanderingevenstar(1) / xiphosmoonlight(1),paleflame(9) / viridescentvenerer(4) / blizzardstrayer(3) / bloodstainedchivalry(3) / goldentroupe(3) / noblesseoblige(3) / emblemofseveredfate(2) / gildeddreams(2) / marechausseehunter(2) / oceanhuedclam(2) / crimsonwitchofflames(1) / gladiatorsfinale(1) / shimenawasreminiscence(1) / songofdayspast(1) / tenacityofthemillelith(1)
furina,furina(10) / baizhu(9) / hutao(9) / yelan(9) / zhongli(9) / nahida(8) / neuvillette(8) / bennett(7) / nilou(7) / gaming(6) / jean(6) / xiangling(6) / alhaitham(5) / amber(5) / charlotte(5) / clorinde(5) / emilie(5) / gorou(5) / noelle(5) / xingqiu(5) / albedo(4) / citlali(4) / escoffier(4) / faruzan(4) / ineffa(4) / raiden(4) / shenhe(4) / skirk(4) / wriothesley(4) / xianyun(4) / xiao(4) / xilonen(4) / yaemiko(4) / chasca(3) / kazuha(3) / kukishinobu(3) / lauma(3) / lynette(3) / mualani(3) / ororon(3) / sucrose(3) / varesa(3) / yaoyao(3) / ayato(2) / barbara(2) / candace(2) / chiori(2) / collei(2) / cyno(2) / dahlia(2) / diluc(2) / diona(2) / dori(2) / eula(2) / fischl(2) / flins(2) / freminet(2) / ganyu(2) / itto(2) / keqing(2) / kinich(2) / klee(2) / kokomi(2) / lanyan(2) / lisa(2) / lyney(2) / mavuika(2) / mika(2) / mona(2) / navia(2) / qiqi(2) / sayu(2) / sigewinne(2) / tighnari(2) / venti(2) / wanderer(2) / yoimiya(2) / yunjin(2) / aloy(1) / arlecchino(1) / ayaka(1) / beidou(1) / chevreuse(1) / chongyun(1) / dehya(1) / heizou(1) / kaeya(1) / kaveh(1) / kirara(1) / layla(1) / mizuki(1) / ningguang(1) / razor(1) / rosaria(1) / sara(1) / sethos(1) / tartaglia(1) / thoma(1) / xinyan(1) / yanfei(1),favoniussword(5) / fleuvecendreferryman(5) / keyofkhajnisut(5) / splendoroftranquilwaters(5) / absolution(3) / favoniuswarbow(3) / festeringdesire(3) / freedomsworn(3) / harbingerofdawn(3) / ironsting(3) / lightoffoliarincision(3) / primordialjadecutter(3) / prototypeamber(3) / sacrificialsword(3) / staffofhoma(3) / urakumisugiri(3) / aquasimulacra(2) / azurelight(2) / blacktassel(2) / cinnabarspindle(2) / deathmatch(2) / engulfinglightning(2) / jadefallssplendor(2) / lithicspear(2) / mistsplitterreforged(2) / redhornstonethresher(2) / skywardblade(2) / solarpearl(2) / theblackspoon(2) / thecatch(2) / thestringless(2) / thewidsith(2) / tomeoftheeternalflow(2) / wanderingevenstar(2) / whiteblind(2) / aquilafavonia(1) / astralvulturescrimsonplumage(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / calamityqueller(1) / dragonsbane(1) / favoniusgreatsword(1) / favoniuslance(1) / fracturedhalo(1) / harangeppakufutsu(1) / kagurasverity(1) / kitaincrossspear(1) / peakpatrolsong(1) / rust(1) / thedockhandsassistant(1),goldentroupe(6) / tenacityofthemillelith(5) / viridescentvenerer(5) / deepwoodmemories(4) / marechausseehunter(4) / noblesseoblige(4) / emblemofseveredfate(3) / gildeddreams(3) / oceanhuedclam(3) / crimsonwitchofflames(2) / flowerofparadiselost(2) / fragmentofharmonicwhimsy(2) / huskofopulentdreams(2) / theexile(2) / archaicpetra(1) / blizzardstrayer(1) / instructor(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1) / thunderingfury(1) / vourukashasglow(1)
gaming,gaming(10) / bennett(8) / xianyun(8) / furina(7) / layla(6) / xiangling(6) / xingqiu(6) / chevreuse(5) / fischl(5) / ganyu(5) / sucrose(5) / yelan(5) / kaeya(4) / rosaria(4) / amber(3) / citlali(3) / diona(3) / lynette(3) / mavuika(3) / shenhe(3) / sigewinne(3) / thoma(3) / venti(3) / xilonen(3) / yanfei(3) / arlecchino(2) / beidou(2) / chongyun(2) / diluc(2) / jean(2) / kazuha(2) / keqing(2) / klee(2) / kukishinobu(2) / lanyan(2) / ororon(2) / sayu(2) / yaemiko(2) / zhongli(2) / albedo(1) / alhaitham(1) / aloy(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / candace(1) / charlotte(1) / chasca(1) / chiori(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / dehya(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / kaveh(1) / kinich(1) / kirara(1) / kokomi(1) / lauma(1) / lisa(1) / lyney(1) / mika(1) / mona(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / qiqi(1) / raiden(1) / razor(1) / sara(1) / sethos(1) / skirk(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xiao(1) / xinyan(1) / yaoyao(1) / yoimiya(1) / yunjin(1),serpentspine(6) / mailedflower(4) / redhornstonethresher(4) / aquilafavonia(3) / beaconofthereedsea(3) / favoniussword(3) / athousandblazingsuns(2) / cranesechoingcall(2) / engulfinglightning(2) / fleuvecendreferryman(2) / freedomsworn(2) / fruitfulhook(2) / hamayumi(2) / harbingerofdawn(2) / ironsting(2) / oathsworneye(2) / primordialjadecutter(2) / rainslasher(2) / splendoroftranquilwaters(2) / thecatch(2) / thrillingtalesofdragonslayers(2) / verdict(2) / athousandfloatingdreams(1) / fangofthemountainking(1) / favoniuscodex(1) / favoniuslance(1) / fracturedhalo(1) / hunterspath(1) / lithicblade(1) / skywardpride(1) / songofbrokenpines(1) / theunforged(1) / wanderingevenstar(1) / wolfsgravestone(1),marechausseehunter(6) / crimsonwitchofflames(5) / viridescentvenerer(5) / noblesseoblige(4) / goldentroupe(3) / songofdayspast(3) / tenacityofthemillelith(3) / emblemofseveredfate(2) / gildeddreams(2) / scrolloftheheroofcindercity(2) / archaicpetra(1) / flowerofparadiselost(1) / instructor(1) / longnightsoath(1) / vermillionhereafter(1)
ganyu,ganyu(10) / diona(8) / mona(7) / shenhe(7) / venti(7) / wanderer(7) / bennett(6) / xiangling(6) / zhongli(6) / xingqiu(5) / barbara(4) / kaeya(4) / kazuha(4) / nahida(4) / rosaria(4) / albedo(3) / chongyun(3) / eula(3) / furina(3) / jean(3) / kokomi(3) / layla(3) / sucrose(3) / aloy(2) / amber(2) / ayaka(2) / ayato(2) / beidou(2) / charlotte(2) / citlali(2) / dehya(2) / escoffier(2) / fischl(2) / freminet(2) / gaming(2) / gorou(2) / heizou(2) / hutao(2) / klee(2) / mavuika(2) / mika(2) / neuvillette(2) / nilou(2) / ningguang(2) / noelle(2) / sayu(2) / skirk(2) / thoma(2) / xinyan(2) / yanfei(2) / yelan(2) / alhaitham(1) / arlecchino(1) / baizhu(1) / candace(1) / chasca(1) / chevreuse(1) / chiori(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / emilie(1) / faruzan(1) / flins(1) / ineffa(1) / itto(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lisa(1) / lynette(1) / lyney(1) / mualani(1) / navia(1) / ororon(1) / qiqi(1) / raiden(1) / razor(1) / sara(1) / sethos(1) / sigewinne(1) / tighnari(1) / varesa(1) / wriothesley(1) / xianyun(1) / xiao(1) / xilonen(1) / yaemiko(1) / yaoyao(1) / yoimiya(1) / yunjin(1),amosbow(6) / hunterspath(5) / prototypecrescent(5) / blacktassel(4) / calamityqueller(4) / freedomsworn(4) / hamayumi(4) / sacrificialbow(4) / skywardharp(4) / thrillingtalesofdragonslayers(4) / amenomakageuchi(3) / aquasimulacra(3) / athousandfloatingdreams(3) / elegyfortheend(3) / favoniuscodex(3) / favoniussword(3) / favoniuswarbow(3) / ironsting(3) / mistsplitterreforged(3) / polarstar(3) / rust(3) / sacrificialsword(3) / astralvulturescrimsonplumage(2) / blackcliffwarbow(2) / engulfinglightning(2) / everlastingmoonglow(2) / skywardatlas(2) / skywardblade(2) / solarpearl(2) / staffofhoma(2) / thecatch(2) / aquilafavonia(1) / cinnabarspindle(1) / favoniusgreatsword(1) / favoniuslance(1) / festeringdesire(1) / fruitoffulfillment(1) / harbingerofdawn(1) / ibispiercer(1) / keyofkhajnisut(1) / kingssquire(1) / makhairaaquamarine(1) / mouunsmoon(1) / primordialjadecutter(1) / prototypeamber(1) / ravenbow(1) / sacrificialgreatsword(1) / sapwoodblade(1) / staffofthescarletsands(1) / thestringless(1) / theviridescenthunt(1) / thunderingpulse(1) / vortexvanquisher(1) / wanderingevenstar(1) / wavebreakersfin(1) / xiphosmoonlight(1),blizzardstrayer(7) / noblesseoblige(5) / wandererstroupe(5) / emblemofseveredfate(4) / tenacityofthemillelith(4) / viridescentvenerer(4) / deepwoodmemories(2) / gildeddreams(2) / gladiatorsfinale(2) / maidenbeloved(2) / shimenawasreminiscence(2) / archaicpetra(1) / huskofopulentdreams(1) / instructor(1) / lavawalker(1) / marechausseehunter(1) / oceanhuedclam(1) / retracingbolide(1)
